U (nominal) [cm/s], z [cm], U [cm/s], SD [cm/s] 
1.849018e+01, -4.025873e+00, 1.792810e+01, 7.670053e-01
1.849018e+01, -4.106214e+00, 1.777775e+01, 8.853211e-01
1.849018e+01, -4.186554e+00, 1.754745e+01, 1.100550e+00
1.849018e+01, -4.266894e+00, 1.725168e+01, 1.326447e+00
1.849018e+01, -4.347235e+00, 1.680404e+01, 1.544153e+00
1.849018e+01, -4.427575e+00, 1.618320e+01, 1.757610e+00
1.849018e+01, -4.507915e+00, 1.529621e+01, 1.987409e+00
1.849018e+01, -4.588256e+00, 1.397386e+01, 2.149537e+00
1.849018e+01, -4.668596e+00, 1.238182e+01, 2.247948e+00
1.849018e+01, -4.748936e+00, 1.028015e+01, 2.259024e+00
1.849018e+01, -4.829277e+00, 7.360643e+00, 1.725699e+00
1.849018e+01, -4.909617e+00, 5.965070e+00, 1.436509e+00
