Material, D [mm], U [cm/s], Direction, H [mm], Mean Force [mN], Error [mN] 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.475000e+01, 8.716456e-01, 1.502786e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 015, 8.611065e-01, 1.503272e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.525000e+01, 8.644357e-01, 1.499311e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.550000e+01, 8.552791e-01, 1.498338e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.575000e+01, 8.572723e-01, 1.502524e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 016, 8.573360e-01, 1.497086e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.625000e+01, 8.551438e-01, 1.503735e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.650000e+01, 8.598027e-01, 1.493387e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.675000e+01, 8.576924e-01, 1.490393e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 017, 8.604892e-01, 1.502988e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.725000e+01, 8.553169e-01, 1.497826e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.750000e+01, 8.636844e-01, 1.501150e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.775000e+01, 8.482992e-01, 1.499155e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 018, 8.594702e-01, 1.495345e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.825000e+01, 8.528190e-01, 1.497160e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.850000e+01, 8.526734e-01, 1.492418e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.875000e+01, 8.369029e-01, 1.499158e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 019, 8.506574e-01, 1.501312e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.925000e+01, 8.490892e-01, 1.491459e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.950000e+01, 8.363241e-01, 1.506216e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.975000e+01, 8.490169e-01, 1.498672e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 020, 8.440970e-01, 1.513130e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.025000e+01, 8.381833e-01, 1.498756e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.050000e+01, 8.408087e-01, 1.500522e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.075000e+01, 8.396862e-01, 1.511705e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 021, 8.408080e-01, 1.505533e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.125000e+01, 8.435984e-01, 1.499814e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.150000e+01, 8.443231e-01, 1.503983e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.175000e+01, 8.385833e-01, 1.502412e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 022, 8.453455e-01, 1.508502e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.225000e+01, 8.449814e-01, 1.499390e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.250000e+01, 8.474932e-01, 1.503468e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.275000e+01, 8.405861e-01, 1.510172e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 023, 8.323885e-01, 1.504943e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.325000e+01, 8.409749e-01, 1.503513e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.350000e+01, 8.263414e-01, 1.506023e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.375000e+01, 8.312765e-01, 1.508134e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 024, 8.210835e-01, 1.513587e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.425000e+01, 8.255423e-01, 1.504195e-01 
