Mode, Direction, D [mm], U [cm/s], h/d, Cd, Delta h [mm]
Experiment, Ascending, 12.7, 26.22, 1.712598e+00, 4.795974e-01, --
Experiment, Ascending, 12.7, 26.22, 1.732283e+00, 4.800755e-01, --
Experiment, Ascending, 12.7, 26.22, 1.751969e+00, 4.773731e-01, --
Experiment, Ascending, 12.7, 26.22, 1.771654e+00, 4.757463e-01, --
Experiment, Ascending, 12.7, 26.22, 1.791339e+00, 4.782395e-01, --
Experiment, Ascending, 12.7, 26.22, 1.811024e+00, 4.725767e-01, --
Experiment, Ascending, 12.7, 26.22, 1.830709e+00, 4.728964e-01, --
Experiment, Ascending, 12.7, 26.22, 1.850394e+00, 4.745974e-01, --
Experiment, Ascending, 12.7, 26.22, 1.870079e+00, 4.702983e-01, --
Experiment, Ascending, 12.7, 26.22, 1.889764e+00, 4.733814e-01, --
Experiment, Ascending, 12.7, 26.22, 1.909449e+00, 4.693058e-01, --
Experiment, Ascending, 12.7, 26.22, 1.929134e+00, 4.708691e-01, --
Experiment, Ascending, 12.7, 26.22, 1.948819e+00, 4.674347e-01, --
Experiment, Ascending, 12.7, 26.22, 1.968504e+00, 4.641447e-01, --
Experiment, Ascending, 12.7, 26.22, 1.988189e+00, 4.621230e-01, --
Experiment, Ascending, 12.7, 26.22, 2.007874e+00, 4.567711e-01, --
Experiment, Ascending, 12.7, 26.22, 2.027559e+00, 4.557954e-01, --
Experiment, Ascending, 12.7, 26.22, 2.047244e+00, 4.557504e-01, --
Experiment, Ascending, 12.7, 26.22, 2.066929e+00, 4.544471e-01, --
Experiment, Ascending, 12.7, 26.22, 2.086614e+00, 4.521249e-01, --
Experiment, Ascending, 12.7, 26.22, 2.106299e+00, 4.499849e-01, --
Experiment, Ascending, 12.7, 26.22, 2.125984e+00, 4.527043e-01, --
Experiment, Ascending, 12.7, 26.22, 2.145669e+00, 4.501268e-01, --
Experiment, Ascending, 12.7, 26.22, 2.165354e+00, 4.464504e-01, --
Simulation, --, 12.7, 26.22, 2.500000e-01, 1.669530e-01, --
Simulation, --, 12.7, 26.22, 5.000000e-01, 3.673390e-01, --
